M1 >
(size of Audio: 48 X 13)
(M1 - size of Encoded: 48 X 2)
4.17297 -0.812183 
5.47274 -0.853088 
6.76325 -0.796204 
6.8303 -0.627964 
4.47856 -2.96816 
4.94916 -2.07693 
4.874 -2.07731 
5.78731 -2.13259 
5.06797 -1.34017 
4.19428 -0.902861 
3.43101 -0.586858 
4.73073 -0.270161 
5.73141 -1.79774 
6.48355 -0.846562 
5.24853 -1.93404 
4.51044 -2.95079 
4.79272 -2.79227 
5.78018 -2.52968 
5.88636 -1.60905 
5.18445 0.547701 
3.70163 1.76412 
3.80104 -0.865394 
5.14293 -0.305569 
5.84575 -1.91756 
5.84957 -1.11027 
4.62302 -2.14897 
4.27986 -2.83374 
3.765 -2.72804 
4.56317 -2.97168 
5.37849 -2.42845 
4.20196 -1.30265 
4.21913 0.320074 
4.12964 -0.573628 
5.38006 -0.519637 
6.54627 -1.09258 
6.26252 -1.10371 
5.2974 -2.54861 
4.67261 -2.74258 
3.93988 -3.39329 
4.45268 -2.31193 
6.01663 -1.64766 
4.907 -1.17495 
4.05578 -0.811761 
5.45836 -0.240772 
6.09785 -0.705792 
5.4242 -1.31159 
5.4577 -1.09707 
5.57409 -2.35748 
3.64526 -2.41797 
4.12869 -3.45121 
3.14529 -2.48472 
4.4103 -3.04141 
3.72212 -1.93518 
3.77108 -1.18802 
4.49404 -0.687261 
3.64402 -0.951488 
5.77273 -1.28617 
5.21122 -0.970281 
4.48874 -1.77573 
3.57401 -2.81137 
2.79514 -3.31106 
2.26958 -3.67222 
5.20163 -2.30492 
3.51694 -1.74786 
3.15106 -1.47537 
3.23829 -0.410607 
5.98119 -0.388791 
4.83541 -1.53498 
6.03181 -1.35792 
4.86379 -1.74425 
3.55589 -2.81041 
3.46114 -2.48451 
2.68437 -3.01631 
3.94099 -1.87266 
3.05642 -1.54362 
3.7384 -1.82344 
3.82317 0.147724 
3.86696 0.117007 
5.74066 -0.218622 
5.57974 -1.51292 
5.36667 -1.61073 
5.20094 -1.87941 
3.79256 -2.35851 
3.52636 -2.31744 
3.1094 -1.42173 
